Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-09-07 17:22:17.081686,,,drink,0
2026-09-07 17:22:17.082417,,,start,0
2026-09-07 17:22:17.083685,,,drink,0
2026-09-07 17:22:17.084419,,,start,0
2026-09-07 17:22:17.085693,,,drink,0
2026-09-07 17:22:17.086445,,,start,0
2026-09-07 17:22:17.087688,,,drink,0
2026-09-07 17:22:17.088414,,,start,0
2026-09-07 17:22:17.089689,,,drink,0
2026-09-07 17:22:17.090427,,,start,0
2026-09-07 17:22:17.091688,,,drink,0
2026-09-07 17:22:17.092409,,,start,0
2026-09-07 17:22:17.093658,,,drink,0
2026-09-07 17:22:17.094393,,,start,0
2026-09-07 17:22:17.095657,,,drink,0
2026-09-07 17:22:17.096384,,,start,0
2026-09-07 17:22:17.097657,,,drink,0
2026-09-07 17:22:17.098388,,,start,0
2026-09-07 17:22:17.099688,,,drink,0
2026-09-07 17:22:17.100415,,,start,0
2026-09-07 17:22:17.101686,,,drink,0
2026-09-07 17:22:17.102423,,,start,0
2026-09-07 17:22:17.103687,,,drink,0
2026-09-07 17:22:17.104415,,,start,0
2026-09-07 17:22:17.105687,,,drink,0
2026-09-07 17:22:17.106450,,,start,0
2026-09-07 17:22:17.107688,,,drink,0
2026-09-07 17:22:17.108418,,,start,0
2026-09-07 17:22:17.109690,,,drink,0
2026-09-07 17:22:17.110431,,,start,0
2026-09-07 17:22:17.111688,,,drink,0
2026-09-07 17:22:17.112419,,,start,0
2026-09-07 17:22:17.113690,,,drink,0
2026-09-07 17:22:17.114431,,,start,0
2026-09-07 17:22:17.115689,,,drink,0
2026-09-07 17:22:17.116418,,,start,0
2026-09-07 17:22:17.117688,,,drink,0
2026-09-07 17:22:17.118433,,,start,0
2026-09-07 17:22:17.119665,,,drink,0
2026-09-07 17:22:17.120399,,,start,0
2026-09-07 17:22:17.121662,,,drink,0
2026-09-07 17:22:17.122412,,,start,0
2026-09-07 17:22:17.123659,,,drink,0
